                  Cp                   x                   y                   z
   -9.9566223103e-01    3.6769440770e-01    5.9045806530e-02    5.0000000000e-01
   -1.0075960857e+00    3.9034067095e-01    5.8354912330e-02    5.0000000000e-01
   -1.0182237149e+00    4.1327849030e-01    5.7489605625e-02    5.0000000000e-01
   -1.0275826568e+00    4.3646600840e-01    5.6458940730e-02    5.0000000000e-01
   -1.0357291736e+00    4.5986038445e-01    5.5272456255e-02    5.0000000000e-01
   -1.0427069353e+00    4.8341780900e-01    5.3940078240e-02    5.0000000000e-01
   -1.0485210366e+00    5.0709342955e-01    5.2472041920e-02    5.0000000000e-01
   -1.0531483262e+00    5.3084126115e-01    5.0878796730e-02    5.0000000000e-01
   -1.0565066707e+00    5.5461415650e-01    4.9170933665e-02    5.0000000000e-01
   -1.0581578910e+00    5.7836377620e-01    4.7359135000e-02    5.0000000000e-01
   -9.8502008368e-01    6.0204058885e-01    4.5454118400e-02    5.0000000000e-01
   -2.1791656571e-01    6.2559381130e-01    4.3466605245e-02    5.0000000000e-01
   -1.4962868402e-01    6.4897146820e-01    4.1407302020e-02    5.0000000000e-01
   -1.3374920092e-01    6.7212036250e-01    3.9286891000e-02    5.0000000000e-01
   -1.2004734853e-01    6.9498607515e-01    3.7116041410e-02    5.0000000000e-01
   -1.0677113151e-01    7.1751314400e-01    3.4905431795e-02    5.0000000000e-01
   -9.3180914961e-02    7.3964506390e-01    3.2665783540e-02    5.0000000000e-01
   -7.8983337365e-02    7.6132428650e-01    3.0407900920e-02    5.0000000000e-01
   -6.4085550298e-02    7.8249251845e-01    2.8142715805e-02    5.0000000000e-01
   -4.8483121306e-02    8.0309078100e-01    2.5881340730e-02    5.0000000000e-01
   -3.2197982632e-02    8.2305946950e-01    2.3635121995e-02    5.0000000000e-01
   -1.5256635278e-02    8.4233862165e-01    2.1415679715e-02    5.0000000000e-01
    2.3244720155e-03    8.6086803675e-01    1.9234945065e-02    5.0000000000e-01
    2.0541998170e-02    8.7858748435e-01    1.7105182630e-02    5.0000000000e-01
    3.9409258170e-02    8.9543691275e-01    1.5038998795e-02    5.0000000000e-01
    5.8954185174e-02    9.1135653850e-01    1.3049330095e-02    5.0000000000e-01
    7.9226535096e-02    9.2628702520e-01    1.1149406430e-02    5.0000000000e-01
    1.0029700793e-01    9.4016972185e-01    9.3526979890e-03    5.0000000000e-01
    1.2226323215e-01    9.5294672250e-01    7.6728400305e-03    5.0000000000e-01
    1.4525733138e-01    9.6456083655e-01    6.1235374305e-03    5.0000000000e-01
    1.6946361393e-01    9.7495558860e-01    4.7184615395e-03    5.0000000000e-01
    1.9513140724e-01    9.8407495020e-01    3.4711482000e-03    5.0000000000e-01
    2.2261975254e-01    9.9186289310e-01    2.3949185850e-03    5.0000000000e-01
    2.5244203318e-01    9.9826222645e-01    1.5028694180e-03    5.0000000000e-01
    2.8540200831e-01    1.0032120940e+00    8.0803304465e-04    5.0000000000e-01
    3.2288798843e-01    1.0066421625e+00    3.2403437945e-04    5.0000000000e-01
    3.7723873262e-01    1.0084490180e+00    6.8258392300e-05    5.0000000000e-01
    3.9267034756e-01    1.0084490180e+00   -6.8258392300e-05    5.0000000000e-01
    3.3317257824e-01    1.0066421625e+00   -3.2403437945e-04    5.0000000000e-01
    2.9215924713e-01    1.0032120940e+00   -8.0803304465e-04    5.0000000000e-01
    2.5663679864e-01    9.9826222645e-01   -1.5028694180e-03    5.0000000000e-01
    2.2477224152e-01    9.9186289310e-01   -2.3949185850e-03    5.0000000000e-01
    1.9559505607e-01    9.8407495020e-01   -3.4711482000e-03    5.0000000000e-01
    1.6849953194e-01    9.7495558860e-01   -4.7184615395e-03    5.0000000000e-01
    1.4306009663e-01    9.6456083655e-01   -6.1235374305e-03    5.0000000000e-01
