                  Max residual                            Cx                            Cy                            Cz                           CMx                           CMy                           CMz
              4.1624376393e-05              5.6937344419e-02              1.6252353293e-01              0.0000000000e+00              0.0000000000e+00              0.0000000000e+00             -8.6911601582e-04
              2.3823347201e-05              4.0550197838e-02              2.4714378885e-01              0.0000000000e+00              0.0000000000e+00              0.0000000000e+00             -3.7759950002e-05
              3.4655656575e-05              4.2382598624e-02              2.7134246578e-01              0.0000000000e+00              0.0000000000e+00              0.0000000000e+00             -4.7024101587e-04
              3.3809042975e-05              4.3149067023e-02              2.7360990448e-01              0.0000000000e+00              0.0000000000e+00              0.0000000000e+00             -3.6424954103e-04
              1.7352687689e-05              4.3621061926e-02              2.7950468480e-01              0.0000000000e+00              0.0000000000e+00              0.0000000000e+00             -2.5013620906e-04
              5.3579532350e-06              4.3247309077e-02              2.8346359129e-01              0.0000000000e+00              0.0000000000e+00              0.0000000000e+00             -2.2617550691e-04
              1.7674864179e-06              4.3196108765e-02              2.8382184579e-01              0.0000000000e+00              0.0000000000e+00              0.0000000000e+00             -2.5694671387e-04
              2.1591559861e-07              4.4037597691e-02              2.8377730553e-01              0.0000000000e+00              0.0000000000e+00              0.0000000000e+00             -2.0340562319e-04
              6.1188740762e-08              4.3467929229e-02              2.8597674596e-01              0.0000000000e+00              0.0000000000e+00              0.0000000000e+00             -1.8448322095e-04
              1.4638958954e-08              4.3038208344e-02              2.8554205693e-01              0.0000000000e+00              0.0000000000e+00              0.0000000000e+00             -2.5276315657e-04
              5.2220575316e-09              4.3672445538e-02              2.8387941928e-01              0.0000000000e+00              0.0000000000e+00              0.0000000000e+00             -2.3939935590e-04
              7.8621915742e-09              4.3668606572e-02              2.8485621105e-01              0.0000000000e+00              0.0000000000e+00              0.0000000000e+00             -1.9343824033e-04
              9.5745571465e-09              4.3382219894e-02              2.8569692981e-01              0.0000000000e+00              0.0000000000e+00              0.0000000000e+00             -2.1342971510e-04
              8.8673154301e-09              4.3470075806e-02              2.8509504155e-01              0.0000000000e+00              0.0000000000e+00              0.0000000000e+00             -2.2897886474e-04
              9.8302510789e-09              4.3503007116e-02              2.8490178243e-01              0.0000000000e+00              0.0000000000e+00              0.0000000000e+00             -2.2016202150e-04
              5.0102580357e-09              4.3494002303e-02              2.8506488899e-01              0.0000000000e+00              0.0000000000e+00              0.0000000000e+00             -2.1722303765e-04
              4.2439624471e-09              4.3510247613e-02              2.8512081826e-01              0.0000000000e+00              0.0000000000e+00              0.0000000000e+00             -2.1714982178e-04
              1.2487349241e-09              4.3501480630e-02              2.8516004253e-01              0.0000000000e+00              0.0000000000e+00              0.0000000000e+00             -2.1701782356e-04
              1.2468709328e-09              4.3501480630e-02              2.8516004253e-01              0.0000000000e+00              0.0000000000e+00              0.0000000000e+00             -2.1701782356e-04
